id	claim	support_sources	contradict_sources	confidence
C1	成功的管理游戏都采用"先难后易"的曲线：初期挑战大，中期成长快，后期有成就感	S001,S002,S003,S004,S006,S007,S009,S012,S015	—	high
C2	角色成长需要明确的"投入-回报"循环：玩家能清楚看到成长带来的效果	S001,S006,S011,S012,S014	—	high
C3	升级难度递增是必要的：低等级容易升，高等级需要更多投入	S006,S011,S012,S014	—	high
C4	无限可扩展性保持长期乐趣：总有新目标可以追求	S002,S008	S005	medium
C5	运输类游戏需要清晰的"线路解锁"机制：完成目标解锁新内容	S003,S009	S005,S010	medium
C6	管理游戏需要"失败安全网"：玩家可以犯错但不会彻底失败	S001,S004,S015	S010	medium
C7	Flow理论是游戏平衡的基础：挑战和技能需要动态平衡	S007,S012,S013	—	high
C8	随机事件需要"正面偏置"：正面事件多于负面事件	S001,S015	S004	medium
C9	里程碑系统比线性进度条更有成就感	S001,S002,S011,S012	—	high
C10	技能上限（潜力）比无限成长更有策略深度	S012	S014	low	单一来源
